variable,itemid,mimic_label,linksto
Capillary refill rate,115,Capillary Refill [Right],chartevents
Capillary refill rate,3348,Capillary Refill,chartevents
Capillary refill rate,8377,Capillary Refill [Left],chartevents
Diastolic blood pressure,8368,Arterial BP [Diastolic],chartevents
Diastolic blood pressure,8440,Manual BP [Diastolic],chartevents
Diastolic blood pressure,8441,NBP [Diastolic],chartevents
Diastolic blood pressure,8502,BP Cuff [Diastolic],chartevents
Diastolic blood pressure,8503,BP Left Arm [Diastolic],chartevents
Diastolic blood pressure,8504,BP Left Leg [Diastolic],chartevents
Diastolic blood pressure,8506,BP Right Arm [Diastolic],chartevents
Diastolic blood pressure,8507,BP Right Leg [Diastolic],chartevents
Diastolic blood pressure,8555,Arterial BP #2 [Diastolic],chartevents
Diastolic blood pressure,220051,Arterial Blood Pressure diastolic,chartevents
Diastolic blood pressure,220180,Non Invasive Blood Pressure diastolic,chartevents
Diastolic blood pressure,224643,Manual Blood Pressure Diastolic Left,chartevents
Diastolic blood pressure,225310,ART BP Diastolic,chartevents
Fraction inspired oxygen,189,FiO2 (Analyzed),chartevents
Fraction inspired oxygen,727,Vision FiO2,chartevents
Fraction inspired oxygen,3420,FIO2,chartevents
Fraction inspired oxygen,3422,FIO2 [Meas],chartevents
Fraction inspired oxygen,223835,Inspired O2 Fraction,chartevents
Glascow coma scale eye opening,184,Eye Opening,chartevents
Glascow coma scale eye opening,220739,GCS - Eye Opening,chartevents
Glascow coma scale motor response,454,Motor Response,chartevents
Glascow coma scale motor response,223901,GCS - Motor Response,chartevents
Glascow coma scale total,198,GCS Total,chartevents
Glascow coma scale verbal response,723,Verbal Response,chartevents
Glascow coma scale verbal response,223900,GCS - Verbal Response,chartevents
Glucose,807,Fingerstick Glucose,chartevents
Glucose,811,Glucose (70-105),chartevents
Glucose,1529,Glucose,chartevents
Glucose,3745,BloodGlucose,chartevents
Glucose,50809,GLUCOSE,labevents
Glucose,50931,GLUCOSE,labevents
Glucose,51478,GLUCOSE,labevents
Glucose,220621,Glucose (serum),chartevents
Glucose,225664,Glucose finger stick,chartevents
Glucose,226537,Glucose (whole blood),chartevents
Heart Rate,211,Heart Rate,chartevents
Heart Rate,220045,Heart Rate,chartevents
Height,1394,Height Inches,chartevents
Height,226707,Height,chartevents
Height,226730,Height (cm),chartevents
Mean blood pressure,52,Arterial BP Mean,chartevents
Mean blood pressure,224,IABP Mean,chartevents
Mean blood pressure,456,NBP Mean,chartevents
Mean blood pressure,3312,BP Cuff [Mean],chartevents
Mean blood pressure,3314,BP Left Arm [Mean],chartevents
Mean blood pressure,3316,BP Left Leg [Mean],chartevents
Mean blood pressure,3320,BP Right Arm [Mean],chartevents
Mean blood pressure,3322,BP Right Leg [Mean],chartevents
